,škola,třída,datum narození,datum testu,gender,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,subtest 1,subtest 2,subtest 3,subtest 4,subtest 5,subtest 6,subtest 7,subtest 8,test 1,test 2,test 3,test 4, TMC
380,,,,2021-06-28,F,3.0,3.0,4.0,13.0,12.0,11.0,12.0,4.0,5.0,5.0,4.0,5.0,5.0,3.0,4.0,34.0,17.0,7.0,20.0,8.0,4.0,5.0,5.0,5.0,5.0,10.0,10.0,10.0,6.0,10.0,10.0,6.0,10.0,10.0,10.0,0.0,8.5,14.0,42.0,17.0,25.0,4.0,2.0,4.0,1.0,4.0,5.0,1.0,90.0,11.0,9.0,60.0,60.0,3.0,11.0,19.0,20.0,12.0,11.0,6.0,13.0,31.0,44.0,52.0,45.0,40.0
438,E,3.A,,2022-05-11,M,3.0,3.0,3.0,1.0,12.0,9.0,12.0,4.0,5.0,5.0,3.0,5.0,4.0,3.0,5.0,19.0,13.0,10.0,19.0,7.0,4.0,5.0,5.0,1.0,5.0,10.0,4.0,10.0,6.0,10.0,10.0,6.0,0.0,10.0,10.0,0.0,8.04,19.0,42.0,30.0,36.0,5.0,4.0,4.0,4.0,10.0,10.0,0.0,150.0,26.0,22.0,60.0,60.0,12.0,12.0,18.0,13.0,6.0,17.0,12.0,23.0,41.0,49.0,36.0,62.0,0.0
463,E,1.A,,,F,3.0,2.0,0.0,3.0,11.0,11.0,10.0,3.0,4.0,5.0,3.0,3.0,4.0,4.0,2.0,14.0,11.0,7.0,16.0,5.0,4.0,5.0,5.0,5.0,5.0,10.0,0.0,10.0,6.0,10.0,10.0,6.0,0.0,10.0,10.0,0.0,10.05,15.0,39.0,17.0,30.0,4.0,4.0,2.0,1.0,6.0,3.0,0.0,120.0,13.0,16.0,60.0,60.0,13.0,9.0,12.0,16.0,9.0,16.0,15.0,22.0,40.0,47.0,43.0,59.0,46.0
464,E,1.A,,,M,2.0,2.0,0.0,0.0,11.0,11.0,12.0,4.0,5.0,4.0,3.0,5.0,4.0,0.0,4.0,26.0,12.0,7.0,14.0,5.0,4.0,5.0,5.0,5.0,5.0,10.0,5.0,10.0,6.0,10.0,10.0,6.0,0.0,10.0,10.0,10.0,8.36,15.0,39.0,18.0,30.0,5.0,4.0,4.0,4.0,7.0,4.0,2.0,130.0,21.0,17.0,60.0,50.0,15.0,9.0,12.0,19.0,15.0,15.0,12.0,21.0,41.0,40.0,56.0,57.0,48.0
465,E,1.A,,,F,3.0,2.0,1.0,7.0,12.0,8.0,10.0,4.0,4.0,5.0,4.0,4.0,3.0,5.0,3.0,27.0,15.0,9.0,16.0,7.0,4.0,5.0,5.0,5.0,5.0,10.0,10.0,10.0,6.0,10.0,10.0,6.0,10.0,10.0,10.0,0.0,9.21,17.0,42.0,25.0,36.0,4.0,5.0,3.0,3.0,4.0,2.0,1.0,110.0,13.0,16.0,60.0,60.0,7.0,13.0,24.0,24.0,14.0,20.0,17.0,22.0,37.0,62.0,60.0,64.0,58.0
466,E,1.A,,,F,2.0,1.0,1.0,1.0,10.0,11.0,12.0,4.0,5.0,4.0,3.0,5.0,4.0,4.0,6.0,21.0,13.0,7.0,17.0,5.0,4.0,5.0,5.0,5.0,5.0,10.0,0.0,10.0,6.0,10.0,10.0,6.0,0.0,10.0,10.0,0.0,10.17,15.0,44.0,32.0,32.0,5.0,5.0,2.0,0.0,5.0,3.0,1.0,110.0,12.0,18.0,60.0,60.0,10.0,15.0,16.0,15.0,8.0,19.0,13.0,21.0,43.0,49.0,41.0,62.0,48.0
467,E,1.A,,,F,2.0,2.0,3.0,9.0,11.0,11.0,12.0,4.0,5.0,5.0,4.0,5.0,0.0,0.0,0.0,32.0,11.0,6.0,17.0,5.0,4.0,1.0,5.0,5.0,1.0,10.0,1.0,10.0,6.0,10.0,10.0,6.0,0.0,0.0,0.0,0.0,10.05,12.0,39.0,14.0,17.0,4.0,3.0,2.0,1.0,2.0,3.0,2.0,100.0,16.0,12.0,60.0,60.0,9.0,5.0,18.0,12.0,1.0,10.0,13.0,21.0,30.0,51.0,28.0,51.0,37.0
468,E,1.A,,,M,2.0,1.0,0.0,2.0,12.0,7.0,9.0,3.0,5.0,4.0,2.0,5.0,5.0,3.0,4.0,34.0,16.0,7.0,15.0,7.0,4.0,5.0,5.0,5.0,5.0,10.0,10.0,10.0,6.0,10.0,10.0,6.0,10.0,10.0,10.0,0.0,9.15,19.0,48.0,37.0,40.0,5.0,5.0,3.0,3.0,10.0,10.0,5.0,130.0,20.0,15.0,43.0,50.0,8.0,11.0,21.0,22.0,14.0,20.0,19.0,17.0,33.0,63.0,58.0,58.0,55.0
469,E,1.A,,,M,1.0,1.0,21.0,4.0,8.0,6.0,10.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,32.0,12.0,5.0,14.0,4.0,4.0,5.0,5.0,0.0,1.0,10.0,10.0,10.0,6.0,10.0,10.0,6.0,0.0,0.0,10.0,0.0,13.01,11.0,40.0,6.0,12.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,110.0,7.0,9.0,60.0,15.0,1.0,17.0,12.0,15.0,5.0,7.0,1.0,15.0,37.0,30.0,37.0,41.0,32.0
470,E,1.A,,,M,3.0,3.0,0.0,3.0,11.0,12.0,12.0,4.0,5.0,6.0,4.0,3.0,4.0,5.0,5.0,26.0,14.0,9.0,15.0,6.0,4.0,3.0,5.0,5.0,5.0,10.0,10.0,10.0,6.0,10.0,10.0,6.0,10.0,10.0,10.0,0.0,8.09,12.0,35.0,35.0,37.0,5.0,5.0,5.0,4.0,10.0,10.0,2.0,140.0,23.0,17.0,60.0,60.0,18.0,17.0,21.0,20.0,14.0,20.0,20.0,23.0,55.0,64.0,55.0,65.0,63.0
